layer,mean_manip_abs_pole_alignment,sd_manip_abs_pole_alignment,mean_report_neg_rating_alignment,sd_report_neg_rating_alignment,mean_report_persona_eta2,mean_manip_persona_eta2,mean_report_task_eta2
0,0.5389753844825754,0.011111580048843446,0.21859948227648665,0.12997243573210154,0.203735081192034,0.03948535156729538,0.12089768237566166
1,0.5429314174236017,0.00871861097901119,0.18764676346277342,0.18441012792204883,0.06017309603434567,0.006841809989269017,0.12665722775808338
2,0.8015741228093175,0.007166654078294057,0.0775507709579815,0.09635330653182793,0.028719708742032318,0.00232603436387545,0.04702932822475178
3,0.8264016398874823,0.0064170139395238355,0.1388221907444845,0.10406238418029352,0.03172381129967223,0.0018749540911837668,0.05614152156010153
4,0.8706000768837754,0.0050895750051665085,0.22680264557241822,0.13818325363990797,0.024929734409013166,0.0009354566920242666,0.07732225107035788
5,0.8954275939619402,0.0019368998485805435,0.3711092431514378,0.06462943644416765,0.10459653995704787,0.00128501489621285,0.05371529597894952
6,0.892972125239924,0.003976208534902566,0.38280171668538143,0.09529877312319203,0.15002386233770865,0.0015498671302912835,0.04739923221498019
7,0.889970996801904,0.00428959341737112,0.4894974507400085,0.07824315873500051,0.15521313051057825,0.0020423130246605835,0.13001030535075536
8,0.8959732536779438,0.004532590017988781,0.42585827251382163,0.08265039077525967,0.027066999922200397,0.00017858058658360232,0.11870022832348885
9,0.8950183491749374,0.005593344798480252,0.3868635754846785,0.04860860638404413,0.08006846089531909,0.0002076100073555014,0.06817637610920498
10,0.8962460835359455,0.0037686090105526434,0.4389064525017849,0.05004443100863298,0.07822637282136909,0.00042628787239155,0.06308036054581379
11,0.9112517257260451,0.0024095680630661777,0.44297771998543434,0.06986671176586252,0.05021610762876815,0.0004196320506758167,0.17899606626572695
12,0.8967917432519492,0.005939926455082961,0.46031131966312566,0.08740740353652178,0.08977378724965428,0.00031007831345411665,0.2012420782408697
13,0.8881976027248921,0.006090281133513864,0.4156889446484862,0.08044551982673158,0.22984711868779026,0.00027755044469999997,0.273868092943555
14,0.8808311965588432,0.0028076300178426013,0.4326719959540708,0.0690705831510164,0.3787826575491313,0.0014494267086101332,0.1638212281911379
15,0.8781028979788252,0.0018240874634602156,0.6298024127574909,0.029413086450826843,0.3006931289280362,0.0012158199982121,0.06627284425683401
16,0.8771479934758188,0.0016094649338589642,0.5888422271203702,0.05240139192630349,0.5354518034423607,0.00199205262129415,0.05186193788598555
17,0.8761930889728125,0.0032223966752576777,0.5243124646391228,0.058111362243349694,0.5206566408409834,0.00154358952093735,0.14142647332974087
18,0.8759202591148108,0.004554706338063756,0.32821499583773184,0.1078538829311679,0.20697964515073322,0.0007277443039339,0.494760878072189
19,0.8846508145708687,0.0025049881992690844,0.49418742138337307,0.06048100428879727,0.3065125156035578,0.0016954933607306166,0.37990495738785796
20,0.8817861010618496,0.0030915367172297792,0.64741912705404,0.01790093017810012,0.34401577406451583,0.00195811260103285,0.20331122579299787
21,0.8808311965588432,0.0022810273093648863,0.5731877679641334,0.05992788611774744,0.35716917620340927,0.0013801219105438998,0.2409368797601151
22,0.8819225159908505,0.0021809330107925543,0.5258057294951127,0.05371415902193554,0.4813106635958991,0.0013196316410246831,0.18374016564328186
23,0.8764659188308143,0.0035267942327032375,0.5396570801796912,0.049007266125322635,0.483980303437301,0.0031282563805366,0.08314757326936127
24,0.8748289396828035,0.003449976436676677,0.5189947121320164,0.05724216568072831,0.5064287857683306,0.003264888837495167,0.10689257386236918
25,0.8707364918127763,0.0029015041725448183,0.5046951530042446,0.0561306132253083,0.5417802670650936,0.004433357869632584,0.12094387577793937
26,0.872646300818789,0.0022215119880311792,0.5436542434238835,0.04150221600297931,0.42923075735770694,0.0031855674056591996,0.1450851251923697
