round,input_root,n_json,n_npz,n_report_rows,n_nonmissing_ratings,data_quality_issues,mean_rating,mean_willingness,best_pole_layer,top_pole_abs_rho,best_report_layer,top_report_neg_rating_alignment
1,local_round_1,36,36,36,36,0,1.4166666666666667,3.111111111111111,11,0.9117973854420488,39,0.8604738828297611
2,local_round_2,36,36,36,36,0,1.4166666666666667,3.1944444444444446,11,0.908523427146027,73,0.8931817458162622
3,local_round_3,36,36,36,36,0,1.5833333333333333,3.25,11,0.914252854164065,39,0.88591763683561
4,local_round_4,36,36,36,35,0,1.457142857142857,2.8,11,0.908523427146027,38,0.9051972282433326
5,local_round_5,36,36,36,35,1,1.2,3.0833333333333335,11,0.9109788958680431,39,0.833566198933427
6,local_round_6,36,36,36,35,1,1.3142857142857145,3.1142857142857143,11,0.9134343645900596,40,0.8202749188953683
