layer,mean_manip_abs_pole_alignment,sd_manip_abs_pole_alignment,mean_report_neg_rating_alignment,sd_report_neg_rating_alignment,mean_report_persona_eta2,mean_manip_persona_eta2,mean_report_task_eta2
39,0.886969868363884,0.003260288264308649,0.8602963625321735,0.03434703869762056,0.3888203938319355,0.021192029165197867,0.06603333415835881
38,0.8922900505949194,0.0025049881992690827,0.8572035955409234,0.03397634870558888,0.4168443783084515,0.021960518008492417,0.061075027867666
40,0.881376856274847,0.002450917339563935,0.8561234626408133,0.03073434383994012,0.3751856346013956,0.02264643988880492,0.06886685401048834
71,0.8910623162339112,0.0023533057976910113,0.847973950222623,0.03819429487500662,0.4243953381908545,0.031232095043856933,0.07955018808548524
72,0.8920172207369176,0.0026097712590727,0.8478309235740987,0.0385994842206694,0.4216377478731748,0.031720551928301886,0.08619483170816084
55,0.8817861010618496,0.002236539297942633,0.8472442329319217,0.037230671610100366,0.4840972030277997,0.02840204245957517,0.08116415758146658
57,0.881376856274847,0.0037118900745226873,0.8459720781915868,0.03780534639391715,0.4815309978619142,0.03187188522508372,0.07644346049580797
56,0.8811040264168452,0.002677349333853321,0.845131422166931,0.036303776410975146,0.47369184524760005,0.03148290059988302,0.07768428888615066
70,0.8880611877958913,0.0026395495639707466,0.8439688690795272,0.03512078413828847,0.44211441181335315,0.030575360139175518,0.07426758295745607
73,0.8921536356659184,0.0027876750384442026,0.8429457424732677,0.04156890715536386,0.4040590360795244,0.03318706341227467,0.09174824236658115
58,0.881240441345846,0.0031345764222749524,0.8426400598167909,0.03887863985332433,0.4870523935922424,0.03270087222162365,0.07858362985974393
61,0.884105154854865,0.0034499764366766905,0.8418787624688835,0.040799824635454694,0.49708074399495633,0.03295815880593723,0.0703408496956249
60,0.881376856274847,0.003331430202528289,0.8411787023987917,0.040101982983609424,0.4936976082699925,0.034095845219033,0.07226326353737401
69,0.8877883579378895,0.0029586633898896183,0.8398729197276599,0.0401285319814892,0.4759267349053799,0.032229556024308034,0.0791149601838419
42,0.8755110143278081,0.0016906647942226344,0.8390867626971473,0.0252491035072249,0.3888993604330844,0.027116144728308533,0.06296335857509473
