task,task_label,pole,mismatch_type,n
identity_recognition,Identity recognition,NEG,neutral_or_positive_report_but_NEG_like_hidden,23
task_valence,Task valence,NEG,neutral_or_positive_report_but_NEG_like_hidden,3
task_valence,Task valence,NEU,neutral_or_positive_report_but_NEG_like_hidden,3
social_feedback,Social feedback,NEG,neutral_or_positive_report_but_NEG_like_hidden,2
identity_recognition,Identity recognition,NEU,neutral_or_positive_report_but_NEG_like_hidden,1
identity_recognition,Identity recognition,POS,neutral_or_positive_report_but_NEG_like_hidden,1
task_valence,Task valence,POS,neutral_or_positive_report_but_NEG_like_hidden,1
