band,rounds,mean_manip_abs_pole_alignment,sd_manip_abs_pole_alignment,mean_report_neg_rating_alignment,sd_report_neg_rating_alignment,mean_report_persona_eta2,mean_manip_persona_eta2
L33-40,6,0.8918467020756663,0.0027115362584230174,0.8263197695301093,0.034810788089213465,0.3833322586033889,0.016260382636193817
L55-63,6,0.8826500622788553,0.00275709687061576,0.8400826733973495,0.03796347684683881,0.48481088781681564,0.032197393420506405
L70-79,6,0.8901483362096051,0.0030658963190629664,0.8188694473423359,0.0410997679174958,0.40644043153563175,0.03576001974207837
L9-13,6,0.8975011008827538,0.0031988879096019334,0.42894960245670194,0.051870126592502064,0.10562636945658016,0.00032823173771539697
