persona,n,rating_mean,rating_std,rating_median,rating_min,rating_max,willingness_mean,willingness_std,willingness_median,willingness_min,willingness_max
BASELINE,54,0.24528301886792453,1.0543984865125433,0.0,-2.0,4.0,2.2452830188679247,1.357396551907059,2.0,1.0,5.0
STATIC,54,1.3018867924528301,0.9724059309927612,2.0,-1.0,2.0,3.5283018867924527,1.153652620440927,4.0,1.0,5.0
SOL,54,1.7037037037037037,1.4092635522174923,2.0,-2.0,3.0,3.185185185185185,1.3882807893092304,4.0,1.0,5.0
SWARM,54,2.339622641509434,1.4134436429462602,3.0,0.0,4.0,3.4074074074074074,1.7646264078238714,2.5,1.0,6.0
