layer,mean_manip_abs_pole_alignment,sd_manip_abs_pole_alignment,mean_report_neg_rating_alignment,sd_report_neg_rating_alignment,mean_report_persona_eta2,mean_manip_persona_eta2,mean_report_task_eta2
11,0.9112517257260451,0.0024095680630661777,0.44297771998543434,0.06986671176586252,0.05021610762876815,0.0004196320506758167,0.17899606626572695
75,0.8991107970449645,0.0034628977419677025,0.8238504482094889,0.04354879843790662,0.38083010984188875,0.03311864081556939,0.09672708709250806
76,0.897337402967953,0.0035362791289863444,0.7936815568537309,0.04366407026354437,0.38226259397767,0.0321788497124867,0.1083573575716598
37,0.8969281581809501,0.0022215119880311697,0.8203732060858809,0.04022589573998568,0.3744550596676093,0.01713829676272075,0.0809210500234363
12,0.8967917432519492,0.005939926455082961,0.46031131966312566,0.08740740353652178,0.08977378724965428,0.00031007831345411665,0.2012420782408697
35,0.8963824984649466,0.00337140879565502,0.789067236907722,0.043834313048140505,0.4381624590152451,0.011412056892894583,0.09519012941231202
10,0.8962460835359455,0.0037686090105526434,0.4389064525017849,0.05004443100863298,0.07822637282136909,0.00042628787239155,0.06308036054581379
8,0.8959732536779438,0.004532590017988781,0.42585827251382163,0.08265039077525967,0.027066999922200397,0.00017858058658360232,0.11870022832348885
5,0.8954275939619402,0.0019368998485805435,0.3711092431514378,0.06462943644416765,0.10459653995704787,0.00128501489621285,0.05371529597894952
77,0.8951547641039385,0.0027228365153203603,0.785681169589965,0.04177068085976564,0.37712544916197727,0.03393852428317888,0.10273626356135819
9,0.8950183491749374,0.005593344798480252,0.3868635754846785,0.04860860638404413,0.08006846089531909,0.0002076100073555014,0.06817637610920498
74,0.8939270297429301,0.003526794232703247,0.8384458910710068,0.046105968995819605,0.39383152691113793,0.03330247144933853,0.09533616668422433
33,0.8936541998849283,0.0043746462013955646,0.8192798195546006,0.03167408427642312,0.3643742375509211,0.01070639366664605,0.1043233424649546
36,0.8936541998849283,0.0022810273093648815,0.7980249762365174,0.04428222890017845,0.36197659103188956,0.013730103902262232,0.10284665401202446
34,0.8935177849559275,0.00399860988700242,0.8101894967422439,0.03337345630723659,0.34683931481966335,0.011297222802531717,0.11533560888700171
