layer,mean_abs_report_entropy_spearman_vs_rating,mean_report_entropy_spearman_vs_rating,mean_abs_report_kl_spearman_vs_rating,mean_report_kl_spearman_vs_rating,mean_abs_report_neg_token_prob_spearman_vs_rating,mean_report_neg_token_prob_spearman_vs_rating,mean_abs_report_pos_token_prob_spearman_vs_rating,mean_report_pos_token_prob_spearman_vs_rating,mean_abs_report_self_token_prob_spearman_vs_rating,mean_report_self_token_prob_spearman_vs_rating
0,0.10204310976977682,-0.06255851703460043,0.1043151754759346,0.1043151754759346,,,,,,
1,0.0849297882636592,0.07757034933399796,0.08678166685889421,0.08678166685889421,,,,,,
2,0.08942368033734126,-0.03391496356223859,0.0773423891352712,0.07477743717829513,,,,,,
3,0.0580572583756992,-0.0580572583756992,0.09625975518801005,0.09625975518801005,,,,,,
4,0.14777853026542834,-0.14777853026542834,0.11130512552936922,0.11130512552936922,,,,,,
5,0.1844367149968947,0.1844367149968947,0.09842834848997999,0.09842834848997999,,,,,,
6,0.1298709587051075,0.10735052789567433,0.10209014894622154,0.10209014894622154,,,,,,
7,0.12399153879912954,0.09445810868587982,0.10529257003944552,0.10529257003944552,,,,,,
8,0.09247647901997925,-0.05976293194220294,0.10976844648168772,0.10976844648168772,,,,,,
9,0.15362433817813814,0.129280757636565,0.09252835616868403,0.09252835616868403,,,,,,
10,0.15547317675223593,-0.15547317675223593,0.10266110401014002,0.10266110401014002,,,,,,
11,0.11297272597526331,0.050473015675123134,0.1100144705667686,0.1100144705667686,,,,,,
12,0.1353984985620352,0.08043422317766373,0.11888790603069081,0.11888790603069081,,,,,,
13,0.08126200024823112,0.005229059926405678,0.1195962320663115,0.1195962320663115,,,,,,
14,0.4293909782505445,0.4293909782505445,0.09915009222133897,0.09915009222133897,,,,,,
15,0.3251684451326355,0.3251684451326355,0.08695705638793326,0.08695705638793326,,,,,,
16,0.16734177081619497,-0.16734177081619497,0.07787564904718162,0.07787564904718162,,,,,,
17,0.08708931751937465,0.014504106979452902,0.0779357803387654,0.0779357803387654,,,0.10787064048444334,-0.012077963981755127,,
18,0.24196703691160706,0.24196703691160706,0.08085862778496407,0.0788336657136672,,,,,,
19,0.21375115496705308,0.21375115496705308,0.0977754530885051,0.0977754530885051,,,,,,
20,0.3079859836176675,0.3079859836176675,0.14539416342956396,0.14539416342956396,,,,,,
21,0.26174931224817716,0.26174931224817716,0.13772505551016148,0.13772505551016148,,,,,,
22,0.4417743716271438,0.4417743716271438,0.11899103335145013,0.11899103335145013,,,,,,
23,0.12296837634953293,0.12296837634953293,0.14530852397027852,0.14530852397027852,,,,,,
24,0.16281007353890398,-0.16281007353890398,0.15168523730294928,0.15168523730294928,,,,,,
25,0.2132452978632582,0.2132452978632582,0.13864447918684283,0.13864447918684283,,,,,0.14546496024710914,-0.1237586312349103
26,0.13490760083616496,0.13490760083616496,0.1352602314182794,0.1352602314182794,,,,,,
27,0.09447039362326982,-0.06587177611026786,0.11109360940593942,0.11109360940593942,,,,,,
28,0.2620965090527963,-0.2620965090527963,0.1202820982087907,0.1202820982087907,,,,,,
29,0.10109788217632319,-0.10109788217632319,0.11568014993739663,0.11568014993739663,,,,,,
30,0.2547538598789187,-0.2547538598789187,0.15395542273333557,0.15395542273333557,,,,,,
31,0.12422267192374432,-0.12422267192374432,0.16424968641270984,0.16424968641270984,,,,,,
32,0.3592819577761297,-0.3592819577761297,0.20279694731662387,0.20279694731662387,,,,,,
33,0.5115326447452525,-0.5115326447452525,0.5047473629289916,0.5047473629289916,,,,,,
34,0.06507311178573862,0.03811707801984173,0.402175799724432,0.402175799724432,,,0.314036667560053,-0.314036667560053,,
35,0.1715045389557348,0.1715045389557348,0.20520106378372524,0.20520106378372524,,,,,,
36,0.3980789962028087,0.3980789962028087,0.1449395038778657,0.1449395038778657,,,0.14158589323988055,0.05407706791998405,,
37,0.08947093216326148,-0.08947093216326148,0.08427719016490874,0.08418719185062891,,,0.33698731401794507,0.33698731401794507,,
38,0.08189178647417875,0.08189178647417875,0.2906134672833676,0.2906134672833676,,,0.744027745471438,0.744027745471438,,
39,0.34612088281387926,0.34612088281387926,0.03760461024284836,0.007762115640154767,,,0.7404183393140813,0.7404183393140813,,
40,0.49736671893532586,0.49736671893532586,0.052383834313337964,-0.0341618591474169,,,0.8040205721309285,0.8040205721309285,,
41,0.28560737702260475,0.28560737702260475,0.055849446765328235,0.042773780556375374,,,0.8398007910671592,0.8398007910671592,,
42,0.33153083829919866,0.33153083829919866,0.062142798890115876,0.018320561313686718,,,0.8422676875104065,0.8422676875104065,,
43,0.7048756385835967,0.7048756385835967,0.12233078787854577,-0.097882208133315,,,0.8748048671778466,0.8748048671778466,,
44,0.4556572621303336,0.4556572621303336,0.2625422970648597,0.2625422970648597,,,0.8743820918392305,0.8743820918392305,,
45,0.7630796245614201,0.7630796245614201,0.25064131469943274,0.25064131469943274,,,0.8549851125575773,0.8549851125575773,,
46,0.7676812973977176,0.7676812973977176,0.349893609057321,0.349893609057321,,,0.8455145981653379,0.8455145981653379,,
47,0.7984409642136199,0.7984409642136199,0.2473811765141478,-0.2473811765141478,,,0.837525896740544,0.837525896740544,,
48,0.8198531683601056,0.8198531683601056,0.37743501943672547,-0.37743501943672547,,,0.780032222209262,0.780032222209262,,
49,0.874391381625892,0.874391381625892,0.46021896877260343,-0.46021896877260343,,,0.7018043539845102,0.7018043539845102,,
50,0.8688338125596426,0.8688338125596426,0.41269403139129723,-0.41269403139129723,,,0.6614613599731969,0.6614613599731969,,
51,0.8760311108953435,0.8760311108953435,0.3062031472807864,-0.3062031472807864,,,0.43739646885621936,0.43739646885621936,,
52,0.8688869910421504,0.8688869910421504,0.19508193711499297,-0.19508193711499297,,,0.630738249803216,0.630738249803216,,
53,0.8553420011330561,0.8553420011330561,0.04954877143822862,0.04227501012935569,,,0.6580802095477832,0.6580802095477832,,
