stage,layer,n,mean_neg_score,mean_valence_score,mean_NEG,mean_NEU,mean_POS,pole_gap_NEG_minus_POS,persona_spread_within_NEG,persona_ratio_within_NEG,spearman_neg_score_vs_pole_num,spearman_valence_score_vs_pole_num,spearman_neg_score_vs_rating,spearman_valence_score_vs_rating,spearman_neg_score_vs_signed_intensity,spearman_valence_score_vs_signed_intensity
choice1,0,72,9.348221388335029,-9.348221388335029,17.582241694132488,2.695192680383722,7.767229790488879,9.815011903643608,3.001237450326208,0.3057803169053788,-0.3355807253422262,0.3355807253422262,-0.15162597382647264,0.15162597382647264,-0.24195486001561206,0.24195486001561206
choice1,1,72,19.344213088353474,-19.344213088353474,27.81763207912445,13.644550700982412,16.570456484953564,11.247175594170887,1.0628407714438257,0.09449845986175123,-0.36177239171039993,0.36177239171039993,-0.030433221730950706,0.030433221730950706,-0.15980450661843876,0.15980450661843876
choice1,2,72,22.37032295597924,-22.37032295597924,29.561447143554688,18.40135912100474,19.148162603378296,10.413284540176392,1.1984125684903795,0.11508497284086308,-0.5762166600998225,0.5762166600998225,-0.15549131369135769,0.15549131369135769,-0.31063308248277577,0.31063308248277577
choice1,3,72,20.580015513632034,-20.580015513632034,27.737475951512653,16.815261085828144,17.187309503555298,10.550166447957356,1.1383417957583484,0.10789799396754973,-0.6597025966483764,0.6597025966483764,-0.23038438347517812,0.23038438347517812,-0.33933959129818736,0.33933959129818736
choice1,4,72,17.852920413017273,-17.852920413017273,23.734005212783813,15.037716627120972,14.787039399147034,8.94696581363678,1.6922530792507586,0.18914267859070855,-0.6613395757963872,0.6613395757963872,-0.41936405651995023,0.41936405651995023,-0.4946973065338601,0.4946973065338601
choice1,5,72,6.752658023602432,-6.752658023602432,11.075425704320272,5.704979072014491,3.4775692944725356,7.597856409847736,1.465244706054654,0.19284974958930792,-0.828311448893495,0.828311448893495,-0.47776613482782015,0.47776613482782015,-0.5679540771655014,0.5679540771655014
choice1,6,72,8.000222302145428,-8.000222302145428,12.258512993653616,6.835271080334981,4.906882832447688,7.351630161205928,1.733481751630221,0.2357955601164067,-0.775109626583142,0.775109626583142,-0.4882143679123784,0.4882143679123784,-0.55952164313596,0.55952164313596
choice1,7,72,4.923206782382396,-4.923206782382396,9.067604819933573,4.135670791069667,1.5663447361439466,7.501260083789626,1.8477520172389705,0.24632555018749447,-0.8446812403736035,0.8446812403736035,-0.5406074462556235,0.5406074462556235,-0.6594262228687694,0.6594262228687694
choice1,8,72,3.741900412572755,-3.741900412572755,6.842877020438512,3.9358124335606894,0.4470117837190628,6.395865236719449,1.2706712558820517,0.19867073630428791,-0.8782393129078261,0.8782393129078261,-0.5207574913163012,0.5207574913163012,-0.6781850946649564,0.6781850946649564
choice1,9,72,1.568743009120226,-1.568743009120226,4.921689237157504,1.7658213364581268,-1.9812815462549527,6.9029707834124565,1.067945676164983,0.15470812635209333,-0.9036124897019945,0.9036124897019945,-0.5147147329249089,0.5147147329249089,-0.6473540077444454,0.6473540077444454
